id;nom;personne;activite;ninea;montant
1;Sausages driver Lorraine;false;bypassing;Savings Cedi Mouse;62207
2;Alsace;false;Account blue;Rhône-Alpes Superviseur a;4742
3;mobile;true;deposit engage;Haute-Normandie Incredible;59012
4;a Lilangeni;true;Mouse transmitting HTTP;navigate website;72277
5;Kids global;false;Chine;Belize;20019
6;Plastic parsing;true;Metal;calculate;8283
7;Consultant withdrawal deposit;false;compressing;AI;91415
8;Expanded Cheese;true;deposit b plum;plum;51211
9;Soft;true;content Coordinateur encompassing;Bedfordshire utilisation Pants;16255
10;orchid;false;Languedoc-Roussillon;Beauty;83900
